@relation R_data_frame-weka.filters.supervised.instance.SpreadSubsample-M1.0-X0.0-S1

@attribute V1 numeric
@attribute V2 numeric
@attribute V3 numeric
@attribute V4 numeric
@attribute V5 numeric
@attribute V6 numeric
@attribute V7 numeric
@attribute V8 numeric
@attribute V9 numeric
@attribute V10 numeric
@attribute V11 numeric
@attribute V12 numeric
@attribute V13 numeric
@attribute V14 numeric
@attribute V15 numeric
@attribute V16 numeric
@attribute V17 numeric
@attribute V18 numeric
@attribute V19 numeric
@attribute V20 numeric
@attribute V21 numeric
@attribute V22 numeric
@attribute V23 numeric
@attribute V24 numeric
@attribute V25 numeric
@attribute V26 numeric
@attribute V27 numeric
@attribute V28 numeric
@attribute V29 numeric
@attribute V30 numeric
@attribute V31 numeric
@attribute V32 numeric
@attribute V33 numeric
@attribute V34 numeric
@attribute V35 numeric
@attribute V36 numeric
@attribute V37 numeric
@attribute V38 numeric
@attribute V39 numeric
@attribute V40 numeric
@attribute V41 numeric
@attribute V42 numeric
@attribute V43 numeric
@attribute V44 numeric
@attribute V45 numeric
@attribute V46 numeric
@attribute V47 numeric
@attribute V48 numeric
@attribute V49 numeric
@attribute V50 numeric
@attribute V51 numeric
@attribute V52 numeric
@attribute V53 numeric
@attribute V54 numeric
@attribute V55 numeric
@attribute V56 numeric
@attribute V57 numeric
@attribute V58 numeric
@attribute V59 numeric
@attribute V60 numeric
@attribute V61 numeric
@attribute V62 numeric
@attribute V63 numeric
@attribute V64 numeric
@attribute V65 numeric
@attribute V66 numeric
@attribute V67 numeric
@attribute V68 numeric
@attribute V69 numeric
@attribute V70 numeric
@attribute V71 numeric
@attribute V72 numeric
@attribute Class {1,2}

@data
2.9,3.1,2.8,2.5,2.8,2.8,2.9,3.2,3.4,3.8,3.9,4.3,4.4,4.4,4.9,4.7,4.4,3.8,3.6,3.7,3.4,3.4,4.3,3.9,4.9,3.6,23.9,23.7,23.6,23.4,23,22.7,22.7,22.9,23.4,24.4,25.7,26.9,27.8,28.6,28.6,27.9,27.4,26.2,25.5,24.9,24.7,24.6,24.5,24.4,28.6,25.1,15.7,0.84,3.23,10.24,1538,10.7,0.13,2.81,2.87,3167,-9.8,0.23,9.53,2.25,5865,12.15,47.95,10155,-15,0,1
2.3,2.6,2.5,2.1,2.5,2.4,1.8,1.8,2.4,2.5,3,3.3,3.8,3.2,3.4,3.8,3.7,3.3,2.8,2.5,1.9,2.3,3.1,3.3,3.8,2.8,16.6,16.6,16.8,16.8,16.7,16.6,16.4,16.6,16.9,18.1,19.8,20.6,21.2,21.7,22.4,23.2,22.1,21.8,21.3,21.1,20.9,21.2,21.2,21.2,23.2,19.5,12.3,0.83,2.12,2.86,1579,4.8,0.13,6.17,1.26,3182.5,-12.9,0.08,3.09,-1.4,5840,3.1,47.5,10235,75,0,1
0.7,1,1.7,1.6,1.7,1.3,1.2,2.3,3,4,3.4,4.1,4.2,3.5,3.3,3.5,3.1,3.2,3.5,2.8,2.7,2.8,2.4,2.7,4.2,2.7,27.1,27.7,28,27.3,27.2,27.1,26.9,28.1,29.6,30.7,31.9,32.2,31.8,32.2,32.8,32.2,32,30.9,29.9,29.1,28.8,28.4,28.1,28.1,32.8,29.5,18.1,0.82,0.86,6.91,1561,9.1,0.57,6.18,5.04,3199.5,-7.7,0.95,9.66,3.47,5900,32.8,48.5,10155,5,0,1
3.3,2.8,2.4,2.4,2.5,2.9,2.5,0.9,0.5,0.8,0.6,1.8,2.4,2.5,2.5,2.9,3.4,5.8,5.3,4.7,4,4.1,4,3.9,5.8,2.9,22.2,22.2,22,21.8,21.6,21.6,21.5,21.1,21.2,21.7,22.4,23.1,23.9,24.7,25.3,25.8,25.9,22.4,20.9,19.8,18.9,18.1,17.4,16.6,25.9,21.8,11.5,0.96,11.5,5.01,1564,5.9,0.09,9.29,1.6,3175.5,-12.6,0.31,14.25,0.61,5840,4.9,47.5,10205,15,0,1
1.640179,1.586351,1.54558,1.526405,1.522624,1.542417,1.637896,2.047127,2.539037,2.847708,2.4,2.9,3.1,3.2,3.4,3.4,3.5,2,1.5,1.3,1.7,1.938376,1.803805,1.708538,3.5,2.6,19.9,20,20.1,20,19.8,20,20.2,20.3,21.5,21.216943,26.4,27.7,27.2,26.7,26.1,26.1,25.5,24.4,23.4,22.6,22.2,21.4,20.9,20.4,27.7,22.7,14.3,0.1,-2.16,2.43,1561,9.4,0.06,4.83,5.01,3186,-8.5,0.45,8.04,-1.42,5880,-26.9,15.6,10190,-25,0,1
1,0.6,1,0.8,1.1,0.9,0.7,1.7,3.3,3.6,3.8,4.2,4.9,4.2,4.7,4.1,4.1,3.8,3,2.4,2.4,2.9,2.2,2.3,4.9,2.7,25,24.9,24.8,24.8,24.6,24.6,25,27.1,28.8,29.7,31.1,31.9,32.7,32.7,32.4,32.2,31.8,31.1,29.6,28.6,27.9,27.5,27.3,27.1,32.7,28.5,18.5,0.65,0,6.9,1533.5,9.4,0.53,0.8,5.84,3173.5,-7.4,0.27,5.86,6.49,5880,28.4,44.8,10125,-25,0,1
1.7,2.5,2.1,2.7,3,3,2.9,3.4,3,3.8,3.4,4.4,4.2,4,3.1,3.4,1.8,1.7,1.6,1.5,1.2,1.3,1.4,1,4.4,2.6,24.7,24.7,24.6,24.7,24.8,24.9,24.9,25.1,26.2,27.4,28.4,30.2,31,31.6,30.4,28.1,25.8,26.1,26.2,25.8,25.8,25.7,25.4,25.3,31.6,26.6,17.1,0.85,-6.63,2.08,1508,8.8,0.84,-7.1,0.74,3144,-5,0.4,-0.67,-2.57,5860,34.15,41.7,10105,-45,0.13,1
3.1,3,2.9,3,3.6,3.1,3.1,3.1,3.7,4.4,4.3,4.5,3.4,3.7,3.4,2.4,2.4,2.2,2.6,2.5,2.5,2.6,3.8,4.1,4.5,3.2,5.8,5.5,5.3,4.9,4.6,4.1,3.7,3.4,3.6,3.9,4.4,4.9,5.2,5.6,6.3,6.2,6.6,6.6,6,6,5.9,5.6,5.1,4.2,6.6,5.1,4,0.79,8.84,-3.27,1498.5,-2.5,0.9,17.95,5.73,3064.5,-17.3,0.49,30.91,3.85,5660,20.75,39.3,10230,10,0,1
1.640179,1.586351,1.54558,1.526405,1.522624,1.542417,1.637896,2.047127,2.539037,2.847708,2.969768,3.016414,3.044148,3.106679,3.177738,3.231005,3.1928,2.934562,2.561343,2.285638,2.089554,1.938376,1.803805,1.708538,4.172092,2.314949,18.649275,18.34785,18.060886,17.821319,17.611319,17.475542,17.589366,18.417822,19.778799,21.216943,22.462532,23.393553,24.025245,24.433077,24.705081,24.720153,24.397532,23.6321,22.509702,21.425661,20.615352,20.031588,19.502647,19.06226,25.578338,20.840483,18.4,0.74,2.99,4.35,1575,9.1,0.68,1.15,2.63,3214.5,-7.7,0.46,0.77,0.23,5920,34,47.55,10170,10,0,1
3.1,3.5,3.3,3.7,3.2,3.7,3.4,3.6,4.3,4.4,4.6,5.8,5,5.6,5.6,5.1,5.3,4.5,3.6,3.3,3.5,3.4,3.3,2.8,5.8,4.1,18.8,17.9,18.1,18.6,18.7,18.7,18.5,18.5,19.3,20.3,21.3,22.3,22.8,22.8,22.1,22.1,22.2,21.6,20.6,20.3,20.2,20.1,20,19.9,22.8,20.2,12.7,0.3,1.73,8.07,1531.5,6.2,0.02,2.46,7.81,3146.5,-15.6,0.56,7.96,5.34,5795,-32,28.1,10185,0,0,1
